key,my,sigma,ordinal
frc2178,20.929493591546006,7.087664025466361,-0.3334984848530773
frc2180,26.013472003028834,1.2945566533888544,22.12980204286227
frc2181,25.285266692009905,2.397308807321356,18.093340270045836
frc2182,35.029246784081025,4.951462432363814,20.174859486989583
frc2183,23.47111308124436,2.0934386578132806,17.19079710780452
frc2184,17.216458343008462,7.15624379578051,-4.252273044333066
frc2185,23.160737818470547,2.4454819230815152,15.824292049226003
frc2186,22.65990438651565,1.778824394458749,17.3234312031394
frc2187,19.05746931235794,2.450612932729586,11.705630514169183
frc2188,25.630048672612205,2.902811027373527,16.921615590491626
frc2189,21.893610168688507,5.674724809009247,4.869435741660769
frc2190,24.148588836647868,2.365393910041152,17.052407106524413
frc2191,24.229683333393147,1.410186104059481,19.999125021214702
frc2192,24.893895917496256,2.7581522996204058,16.61943901863504
frc2193,22.833273262144097,3.6189539130417034,11.976411523018987
frc2194,30.027368663717077,1.5116500387906646,25.492418547345082
frc2196,18.097111635475475,4.690390708041069,4.0259395113522665
frc2197,24.051606995496595,1.4424859870180826,19.72414903444235
frc2198,20.981978001648194,2.240783366726253,14.259627901469436
frc2199,28.311152700514203,1.3939706788720576,24.12924066389803
frc2200,35.284000686229106,1.3812999802441588,31.140100745496632
frc2201,14.273397285706444,5.079945974008631,-0.9664406363194473
frc2202,32.40196587062789,1.6456019760574265,27.46515994245561
frc2203,18.913801819745004,5.351694231444116,2.858719125412655
frc2204,21.126967615336895,2.651728495469241,13.171782128929172
frc2205,19.60811405796102,3.955534732762899,7.741509859672325
frc2206,21.406050702705453,4.488170059506482,7.941540524186008
frc2207,21.23218044035552,2.9410181706198473,12.409125928495978
frc2208,23.94348492980715,6.719974120309902,3.783562568877443
frc2209,29.854565043671986,6.820361212085074,9.393481407416765
frc2210,24.11063759369297,5.678469773534384,7.07522827308982
frc2211,24.516862666394115,5.213269085965279,8.87705540849828
frc2212,24.91893067656863,1.795593069693921,19.532151467486866
frc2213,19.740180564599125,3.592968997273927,8.961273572777344
frc2214,28.534374136501505,3.8424279141378572,17.007090394087932
frc2215,23.707183116809134,5.313760021431261,7.765903052515352
frc2216,23.132509128460388,3.8105413310261462,11.700885135381949
frc2217,24.59183792932602,4.351916225127197,11.536089253944429
frc2219,23.33837600438465,4.158008587766807,10.864350241084228
frc2220,27.213370145192247,1.5962613328434625,22.42458614666186
frc2221,20.93898660767656,2.485787937307025,13.481622795755486
frc2222,23.394155884719023,7.1494448069142695,1.9458214639762126
frc2223,16.308517551662625,6.303241887612329,-2.601208111174362
frc2224,21.742552157452916,1.6499842211487041,16.792599494006804
frc2225,25.746646855948846,2.506901793054333,18.22594147678585
frc2226,24.5942485163688,4.4160157139255,11.346201374592301
frc2227,26.89712534953881,2.201415254489835,20.292879586069304
frc2228,26.93473416900607,1.6447313747169436,22.00054004485524
frc2229,21.00748864012676,2.8599585840948127,12.42761288784232
frc2230,28.319151606969193,1.6951819732367324,23.233605687258994
frc2231,29.34123438017505,1.6198238706707841,24.481762768162696
frc2232,23.58725026961549,2.947949939186452,14.743400452056136
frc2234,23.667425354024715,1.3744243471715358,19.544152312510107
frc2235,12.579542182355429,6.83257736633081,-7.918189916637001
frc2236,23.24814272403532,7.028988121240533,2.16117836031372
frc2237,22.810736672119685,3.769715338609995,11.5015906562897
frc2239,26.14240896877864,2.3373696076610586,19.130300145795463
frc2240,26.86716064503517,1.956770437961237,20.99684933115146
frc2241,28.31070331628172,6.130208189110719,9.920078748949564
frc2242,23.343303676977254,3.39595037025248,13.155452566219815
frc2243,27.470377569562316,5.9356003031838025,9.66357666001091
frc2244,20.824776088225086,5.999343034677316,2.8267469841931394
frc2245,20.062161790986615,2.824665226506645,11.58816611146668
frc2246,20.681470715366743,1.5365227781538762,16.071902380905115
frc2247,33.549071057935414,5.925070476128306,15.773859629550493
frc2249,15.353363125337195,6.437840908876804,-3.960159601293215
frc2250,22.497898308400607,5.005428461373093,7.481612924281329
frc2251,26.100078036613848,6.891951022699217,5.424224968516196
frc2252,31.60959644405252,1.4546526340634685,27.245638541862114
frc2254,14.597320189328077,6.337092581623981,-4.413957555543867
